Timestamp,Candle_Timestamp,Profile,Signal_Type,Votes,Threshold,ADX_Value,ADX_Threshold,Cooldown_Remaining,Blocked_Reason,Status
2026-06-17 22:51:01,2026-06-17 17:20:00,Balanced,BUY,2,3,40.33,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 22:51:01,2026-06-17 17:20:00,Aggressive,BUY,2,2,40.33,10,1,Blocked because cooldown active (1 candles left),BLOCKED_COOLDOWN
2026-06-17 22:51:01,2026-06-17 17:27:00,Scalper,SELL,2,2,8.98,5,0,Blocked because volatility too low (ATR 41.43),BLOCKED_VOLATILITY
2026-06-17 22:51:33,2026-06-17 17:20:00,Conservative,BUY,2,4,40.33,20,0,Blocked because consensus votes = 2 and threshold = 4,BLOCKED_CONSENSUS
2026-06-17 22:51:33,2026-06-17 17:20:00,Balanced,BUY,2,3,40.33,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 22:51:33,2026-06-17 17:20:00,Aggressive,BUY,2,2,40.33,10,0,,EXECUTED
2026-06-17 22:51:33,2026-06-17 17:28:00,Scalper,BUY,2,2,8.6,5,0,Blocked because volatility too low (ATR 39.87),BLOCKED_VOLATILITY
2026-06-17 22:52:05,2026-06-17 17:20:00,Conservative,BUY,2,4,40.33,20,0,Blocked because consensus votes = 2 and threshold = 4,BLOCKED_CONSENSUS
2026-06-17 22:52:05,2026-06-17 17:20:00,Balanced,BUY,2,3,40.33,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 22:52:05,2026-06-17 17:20:00,Aggressive,BUY,2,2,40.33,10,3,Blocked because cooldown active (3 candles left),BLOCKED_COOLDOWN
2026-06-17 22:52:05,2026-06-17 17:28:00,Scalper,BUY,2,2,8.6,5,0,Blocked because volatility too low (ATR 39.87),BLOCKED_VOLATILITY
2026-06-17 22:52:37,2026-06-17 17:25:00,Conservative,BUY,2,4,40.32,20,0,Blocked because consensus votes = 2 and threshold = 4,BLOCKED_CONSENSUS
2026-06-17 22:52:37,2026-06-17 17:25:00,Balanced,BUY,2,3,40.32,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 22:52:37,2026-06-17 17:25:00,Aggressive,BUY,2,2,40.32,10,2,Blocked because cooldown active (2 candles left),BLOCKED_COOLDOWN
